alpha,mode,use_networkx,n,d,outlier_scale,exp_single_dL,exp_single_lambda,exp_list_T,exp_list_R,exp_list_lambda,ols_err,ols_mse,ridge_err,ridge_mse,huber_err,huber_mse,ransac_err,ransac_mse,theilsen_err,theilsen_mse,exp_single_err,exp_single_mse,exp_list_num_cands,exp_list_best_err,exp_list_best_mse,seed
0.4,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,2.342422925463703,5.733209369398308,2.342086927022399,5.731015478760874,1.244883999979076,1.6193919466907536,3.7806074068297724,14.460806557412642,2.247875242071202,5.236349183604501,2.349299423390018,5.756348722174654,10,0.815904222883933,0.663111566216372,0
0.4,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,1.5622744636085868,2.4139600681487847,1.5632735994874747,2.416877805644074,0.6764150098737776,0.4516205617772621,5.718441994000068,33.46001025268347,1.4960241937749377,2.192201788990551,1.5490890748399126,2.3764168106426498,10,0.379696059555395,0.13932849392732308,1
0.4,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,2.5124979580548197,5.96412441816753,2.5128082693214413,5.965572249773697,1.3979740198724624,1.84363904125199,4.28513291530313,18.413200642502584,2.3801518281053005,5.362976973525818,2.5108292348051138,5.955212778667903,10,0.6697958473234266,0.4493965801511268,2
0.4,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,3.2238737598700187,10.579932428349446,3.2248000063454274,10.58599865183987,2.0335445900606968,4.20797854694373,4.606137938398059,20.01803671652169,3.083426139980876,9.730356609455342,3.248164548538555,10.729922388531467,10,1.01916352661334,1.0294553806192932,3
0.4,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,2.9960557095940428,8.92355843833138,2.99648109992997,8.926176309858405,1.881182025267652,3.511365699463559,6.448222369088343,41.02333488155846,2.906683676894768,8.424227813806212,3.0192613504478762,9.048122074471063,10,0.8406925600116374,0.7517007955017577,4
0.4,10,0,10.0,0.001,uniform,7,2,0.001,5000,20,mean,5,2.527424963318234,0.5780345593750768,6.722956944479089,2.822827942454619,2.5278899804213424,0.5780131861028573,6.725128099175384,2.8240800354212006,1.446799929010733,0.48365360295416826,2.326799159225459,1.3558906455390711,4.967708524723875,0.9758456641112723,25.47507781013577,10.064502192635175,2.4228322161654168,0.5589098741135905,6.189222473876485,2.649592546987016,2.5353287264042956,0.5916420321305719,6.773204554897546,2.8936383510871284,10.0,0.0,0.7450504432775464,0.2137534724634688,0.6065985632831746,0.2987005344753992
0.3,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,2.7102580536725838,7.7095466362237275,2.7104122748115858,7.7103351119763115,2.052654750434587,4.431514937584117,5.787153349680333,35.37290970006494,2.6560327642636286,7.345296821326587,2.706703235412926,7.705302529455759,10,0.7277112796569178,0.5235050106662142,0
0.3,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,1.8510787166803677,3.417455168331852,1.8521270998651251,3.4211401377866806,1.290673487781137,1.671422660951691,6.388670208787503,41.69966815211427,1.867624455660592,3.4941405578925036,1.8485549607769196,3.4079566088262445,10,0.6973886952563727,0.49452529532934697,1
0.3,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,2.8111308439961507,7.463788925726726,2.8113864698930464,7.4650747326245,2.1027325672325894,4.1861976623321695,4.545376802028713,19.602333373541246,2.7208535494516277,6.937243008971093,2.798729240523526,7.398103460671613,10,0.8207160054131601,0.6491034083720022,2
0.3,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,3.804509774347897,14.781453655628852,3.8070465954653545,14.8010627251294,3.1417452915276995,10.085395461624863,5.205637383917263,27.79542279286664,3.6261179893669704,13.493323067704798,3.8115036481628,14.826031956368956,10,1.0651279927502304,1.155276458228828,3
0.3,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,3.560705540370709,12.656489190500329,3.5609530155025264,12.658168041791459,2.9225646376073096,8.538739177790374,3.9703497619563897,15.35054059720693,3.5560813507006666,12.6173146133811,3.539837869221152,12.516798807405669,10,1.2962954280968,1.7199736688262488,4
0.3,10,0,10.0,0.001,uniform,7,2,0.001,5000,20,mean,5,2.9475365858135416,0.6910147176000305,9.205746715282299,4.044094018802451,2.9483850911075278,0.6913349850740901,9.21115614986167,4.048567549808001,2.3020741469166643,0.6655726067322977,5.782653980056644,3.078508155586412,5.17943750127404,0.8597877480949329,27.964174923158804,9.722199005661631,2.8853420218886967,0.6502351142494538,8.777463613855215,3.750594678099765,2.9410657908194646,0.6906454198873709,9.17083867254565,4.041728746463137,10.0,0.0,0.9214478802346961,0.227612810822394,0.9084767682845281,0.47037664110864014
0.2,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,3.142505180314581,10.252459498765829,3.14298817839184,10.256108863942172,2.777977710745064,7.990192982607294,6.000662819870932,34.136820586602,3.114018207162844,10.080887298257563,3.122263402395897,10.118634070599832,10,1.4361755346836718,2.0752805620889307,0
0.2,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,2.1837110554462877,4.706090459011196,2.184375980360055,4.708850816659383,1.9051696868069776,3.574452624389961,6.12098012652686,35.185000115343385,2.254325116510827,5.00737818877375,2.170252939118423,4.65142351420077,10,0.9882706286920494,0.9765435732552766,1
0.2,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,3.346660806069499,10.513469162090484,3.3471630121851526,10.516454668552766,3.0152509921598245,8.533987412863473,5.6176292190962265,32.14817269904099,3.3828543300647986,10.746564182316954,3.3626748282548817,10.604095545300869,10,1.4321829788863167,2.005984232446194,2
0.2,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,4.542082088734611,21.0962280039667,4.543134494005653,21.105948746579777,4.254256516986386,18.539398497085067,5.706823196093131,31.90580371124699,4.485789403189662,20.488372367032976,4.521399701035371,20.923228343530564,10,3.137333303811379,10.240871099460364,3
0.2,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,3.962427480873717,15.544937779771892,3.9626411548452434,15.546671617450247,3.559654970015306,12.528293227488295,6.043455056162711,36.295465439249135,3.903925032425143,15.081614170134257,3.971308677723261,15.614536958047047,10,1.9805946362826186,3.6870208977225194,4
0.2,10,0,10.0,0.001,uniform,7,2,0.001,5000,20,mean,5,3.4354773222877393,0.7953477748864825,12.42263698072122,5.529550177055519,3.4360605639575885,0.7954128864935142,12.426806942636869,5.531532893593932,3.102461975342712,0.7851191907327439,10.233264948886818,5.030262555439801,5.897910083549972,0.19827923213734752,33.9342525102965,1.7020819907079463,3.428182417870655,0.7514729963862006,12.280963241303102,5.202018153102516,3.4295799097055664,0.7962869657698229,12.382383686335816,5.503588982629323,10.0,0.0,1.7949114164712072,0.7412836831541779,3.7971400729946567,3.3365431155304686
0.1,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,3.619798573881083,13.717453136534841,3.6208408774862644,13.726701743599778,3.4909746711581278,12.75800773053537,7.110518369527179,50.53779853157501,3.563900308934762,13.239819921851604,3.60664452944347,13.627360696081832,10,2.8763927784749694,8.468632078355087,0
0.1,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,2.391521056756214,5.657077754191125,2.3921874949202344,5.660105469747346,2.3089596537329635,5.2811961713451945,7.196296590297776,51.36374825054592,2.260270667309184,5.021017707118845,2.3977948231625885,5.690607853877858,10,1.715255262483019,2.756491902997863,1
0.1,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,3.7311736776114994,13.092471390163176,3.731466274228298,13.09433147795829,3.631480005303436,12.401770143568028,8.554361669443509,74.52099018575787,3.5970694445032154,12.142680452445184,3.7433474164332217,13.164800558634509,10,2.727103113356433,6.918449580519461,2
0.1,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,5.0282119697945005,25.73972974070585,5.029967677834178,25.75758898788928,4.871987556574869,24.147505584553233,6.4067418788024355,43.14551075917497,5.018282923391783,25.624356249583276,5.033093723056607,25.780266320486547,10,4.105997100389194,16.98085611371549,3
0.1,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,4.58792169797798,20.987666333932378,4.588000690246416,20.988365042367374,4.454843915505376,19.793057124162413,8.254661956517982,66.16649351369234,4.465058083835515,20.00536326932414,4.600046178226984,21.097931135372832,10,3.426743412203851,11.765931624678688,4
0.1,10,0,10.0,0.001,uniform,7,2,0.001,5000,20,mean,5,3.8717253952042556,0.9082538338476648,15.838879671105474,6.93179825820832,3.8724926029430775,0.9084294800528351,15.845418544312414,6.935402871348767,3.7516491604549542,0.8846904332450641,14.87630735083285,6.52389808689093,7.504516092917777,0.7899666124889068,57.14690824814922,11.457539386665802,3.780916285594892,0.9372710267525991,15.20664752006461,7.050669297225607,3.876185334064574,0.9097635080253678,15.872193312890715,6.949995366554417,10.0,0.0,2.9702983333814936,0.792622113930664,9.378072260053319,4.779672504794498
0.4,7,0.001,5000,uniform,10,0,2,20,10.0,0.001,mean,5,2.527424963318234,0.5780345593750768,6.722956944479089,2.822827942454619,2.5278899804213424,0.5780131861028573,6.725128099175384,2.8240800354212006,1.446799929010733,0.48365360295416826,2.326799159225459,1.3558906455390711,4.967708524723875,0.9758456641112723,25.47507781013577,10.064502192635175,2.4228322161654168,0.5589098741135905,6.189222473876485,2.649592546987016,2.5353287264042956,0.5916420321305719,6.773204554897546,2.8936383510871284,10.0,0.0,0.7450504432775464,0.2137534724634688,0.6065985632831746,0.2987005344753992
0.3,7,0.001,5000,uniform,10,0,2,20,10.0,0.001,mean,5,2.9475365858135416,0.6910147176000305,9.205746715282299,4.044094018802451,2.9483850911075278,0.6913349850740901,9.21115614986167,4.048567549808001,2.3020741469166643,0.6655726067322977,5.782653980056644,3.078508155586412,5.17943750127404,0.8597877480949329,27.964174923158804,9.722199005661631,2.8853420218886967,0.6502351142494538,8.777463613855215,3.750594678099765,2.9410657908194646,0.6906454198873709,9.17083867254565,4.041728746463137,10.0,0.0,0.9214478802346961,0.227612810822394,0.9084767682845281,0.47037664110864014
0.2,7,0.001,5000,uniform,10,0,2,20,10.0,0.001,mean,5,3.4354773222877393,0.7953477748864825,12.42263698072122,5.529550177055519,3.4360605639575885,0.7954128864935142,12.426806942636869,5.531532893593932,3.102461975342712,0.7851191907327439,10.233264948886818,5.030262555439801,5.897910083549972,0.19827923213734752,33.9342525102965,1.7020819907079463,3.428182417870655,0.7514729963862006,12.280963241303102,5.202018153102516,3.4295799097055664,0.7962869657698229,12.382383686335816,5.503588982629323,10.0,0.0,1.7949114164712072,0.7412836831541779,3.7971400729946567,3.3365431155304686
0.1,7,0.001,5000,uniform,10,0,2,20,10.0,0.001,mean,5,3.8717253952042556,0.9082538338476648,15.838879671105474,6.93179825820832,3.8724926029430775,0.9084294800528351,15.845418544312414,6.935402871348767,3.7516491604549542,0.8846904332450641,14.87630735083285,6.52389808689093,7.504516092917777,0.7899666124889068,57.14690824814922,11.457539386665802,3.780916285594892,0.9372710267525991,15.20664752006461,7.050669297225607,3.876185334064574,0.9097635080253678,15.872193312890715,6.949995366554417,10.0,0.0,2.9702983333814936,0.792622113930664,9.378072260053319,4.779672504794498
