alpha,mode,use_networkx,n,d,outlier_scale,exp_single_dL,exp_single_lambda,exp_list_T,exp_list_R,exp_list_lambda,ols_err,ols_mse,ridge_err,ridge_mse,huber_err,huber_mse,ransac_err,ransac_mse,theilsen_err,theilsen_mse,exp_single_err,exp_single_mse,exp_list_num_cands,exp_list_best_err,exp_list_best_mse
0.3,10,20,uniform,0.001,5000,0,2,7,10.0,0.0001,mean,5,2.9475365858135416,0.6910147176000305,9.205746715282299,4.044094018802451,2.9483850911075278,0.6913349850740901,9.21115614986167,4.048567549808001,2.3020741469166643,0.6655726067322977,5.782653980056644,3.078508155586412,5.17943750127404,0.8597877480949329,27.964174923158804,9.722199005661631,2.8853420218886967,0.6502351142494538,8.777463613855215,3.750594678099765,2.9409553610337498,0.6906166050560115,9.170149174637,4.041403301317313,10.0,0.0,0.9214478802346961,0.227612810822394,0.9084767682845281,0.47037664110864014
0.3,uniform,0,5000,20,20.0,2,0.0001,7,10,0.001,2.72416417510211,7.7781252317346015,2.7249556132508554,7.783201682364064,1.8830341857324264,3.713723813270346,10.519301389103637,112.86579279110533,2.751704467438248,7.790311237542932,2.726900240605876,7.802722755935903,10,0.965446528413393,0.9347896849437412,0
0.3,uniform,0,5000,20,20.0,2,0.0001,7,10,0.001,1.9378237657231683,3.7831463719093352,1.939300628789935,3.7885720591519667,1.3339047304603167,1.8135929788710632,11.780255204883316,142.63077232814769,2.03327206024557,4.205158473345022,1.9274212950193401,3.739819906857174,10,0.873821964156831,0.7469193797663091,1
0.3,uniform,0,5000,20,20.0,2,0.0001,7,10,0.001,2.8861855973789936,7.89684204482655,2.8862490461391515,7.897069762689078,1.9638694122515785,3.6720963343579602,7.12565514979153,50.03304700618143,2.7395198904510885,7.037142651279335,2.885881137435892,7.897069917785626,10,1.0662925158116836,1.1900942294964798,2
0.3,uniform,0,5000,20,20.0,2,0.0001,7,10,0.001,3.7451910642581674,14.321542162547932,3.749237969913064,14.352387024122438,2.6599380648863398,7.234554766220397,9.154052597494394,87.8655214179645,3.5109000652803344,12.68547718013632,3.690549534838608,13.895107826805937,10,1.2483504759880721,1.54471833014536,3
0.3,uniform,0,5000,20,20.0,2,0.0001,7,10,0.001,3.6531732890869577,13.346619766483714,3.653230337763293,13.346671056857147,2.573253511918806,6.636893755599123,9.2191359834334,81.85746520617607,3.689264832122356,13.551034037903438,3.6033226639218903,12.994451225150959,10,1.261323177991684,1.554051630453052,4
0.3,10,20,uniform,0.001,5000,0,2,7,20.0,0.0001,mean,5,2.9893075783098793,0.663118526603274,9.425255115500425,3.9046946619722944,2.99059471917126,0.6635204538623284,9.433580317036938,3.9104391342337133,2.0827999810498934,0.48755060932898525,4.614172329663778,2.0248143367946327,9.559680064941256,1.5528559649422013,95.05051974991501,31.091857874361825,2.9449322631075194,0.5974957867189348,9.05382471604141,3.5379889343623794,2.966814974364321,0.6439537776871046,9.26583432650712,3.7385506271313873,10.0,0.0,1.0830469324723329,0.15296622770691787,1.1941146509609886,0.32240557731868397
0.3,uniform,0,5000,20,30.0,2,0.0001,7,10,0.001,2.763851039317961,7.978425760522405,2.765268528463734,7.987869113097906,1.9273455914553481,3.8569059909181913,16.0196291499732,263.27532432448106,2.917838650272651,8.67765510793793,2.7833339867985782,8.11273275614535,10,1.4676978746866312,2.1565337318179245,0
0.3,uniform,0,5000,20,30.0,2,0.0001,7,10,0.001,2.082007782935178,4.408460212745841,2.0837241458041578,4.4152333049447465,1.5075128755379168,2.3404027354387664,17.308501704348604,308.23511922427105,2.3255814719453953,5.563645403177026,2.0378996095214332,4.219205544700202,10,1.018121540573447,1.0613326000718446,1
0.3,uniform,0,5000,20,30.0,2,0.0001,7,10,0.001,3.0144695719643217,8.65883841659139,3.0141548801057394,8.656897174255123,2.056328841844875,4.05180967534139,10.376432074193836,107.30153540598918,2.8894702847632874,7.861473990805927,2.9947982743653023,8.546265833904164,10,1.193943824745208,1.4780054915528762,2
0.3,uniform,0,5000,20,30.0,2,0.0001,7,10,0.001,3.703727541951258,14.006778426687443,3.708828610117635,14.04531950172375,2.544380934307194,6.631657357222389,14.567120714731121,223.8258916705633,3.454929492029708,12.295041389161572,3.6249204400508677,13.427175771934944,10,1.3260228064432422,1.8875600641886767,3
0.3,uniform,0,5000,20,30.0,2,0.0001,7,10,0.001,3.7774022823359674,14.29561707344179,3.7772146179361035,14.293546405528184,2.569177661890225,6.630143322946387,12.655497930165602,155.39381474556197,3.903140563146289,15.084314270517188,3.70477999707878,13.758275963064024,10,1.521183830435951,2.510677679183933,4
0.3,10,20,uniform,0.001,5000,0,2,7,30.0,0.0001,mean,5,3.0682916437009373,0.6284828445742456,9.869623977997772,3.7834482646819336,3.0698381564854738,0.6288043234092976,9.879773099909942,3.788643372360925,2.1209491810071115,0.3995411017069536,4.7021838163734255,1.682580577779957,14.185436314682471,2.454086735666908,211.60633707417333,72.38157585380623,3.098192092431466,0.5381863879291122,9.89642603231993,3.378371215830461,3.029146461562992,0.6091963887208637,9.612731173949737,3.5836571118888294,10.0,0.0,1.3053939753768957,0.1834556915565414,1.8188219133630512,0.5074218165448737
0.3,uniform,0,5000,20,5.0,2,0.001,7,10,0.001,2.7131253642242514,7.724653063447135,2.712962394998362,7.723327149412188,2.5187008286123675,6.665357609606912,4.062046430078271,17.509262110686414,2.6625451809311125,7.404763098628051,2.721956141988357,7.7837121184612315,10,1.6479135953953936,2.8871379407437234,0
0.3,uniform,0,5000,20,5.0,2,0.001,7,10,0.001,1.832008664853905,3.331968055515243,1.8327735665513003,3.3346351737643474,1.4807013365700397,2.1809799175277287,4.063877019241275,16.624431382566485,1.8368835378239075,3.3530086318246295,1.8411502302979479,3.3662649181241195,10,0.6093195930611086,0.36274448061781306,1
0.3,uniform,0,5000,20,5.0,2,0.001,7,10,0.001,2.7950236292989237,7.370616085926198,2.795296531829617,7.372014360655271,2.563731116293621,6.204496136285733,4.090451399613708,15.506139346122223,2.7562400871781323,7.1421434020488705,2.8177484820516034,7.491265661344249,10,1.7326506495243872,2.8504666814751145,2
0.3,uniform,0,5000,20,5.0,2,0.001,7,10,0.001,3.8406160212858933,15.065839811126988,3.8422394532350554,15.078503642610986,3.9309876542428492,15.79126160051863,4.632628210413436,21.472657669125898,3.78563776348514,14.67653479088637,3.8809988965968847,15.3795536996302,10,3.270734214000082,10.857068247229892,3
0.3,uniform,0,5000,20,5.0,2,0.001,7,10,0.001,3.5271963438616276,12.408498926624146,3.527515547123029,12.410806159360607,3.584796955493015,12.818823657939145,4.804862860751386,23.116720767734844,3.5871694348396277,12.83082191489801,3.5480659231187137,12.555549380618853,10,2.97980584701037,9.012108314066522,4
0.3,10,0,5.0,0.001,uniform,7,2,0.001,5000,20,mean,5,2.9415940047049203,0.7008610571240437,9.180315188527942,4.114795197399225,2.9421574987474726,0.7010881282397928,9.18385729716068,4.117994101138561,2.815783578242379,0.868250528505395,8.73218378437563,4.901233568369899,4.330773184019615,0.32158347894757494,18.845842255247174,2.9330970238413676,2.925695200851584,0.7015017005450747,9.081454367657186,4.117037603132877,2.9619839348107013,0.7103190828546708,9.315269155635729,4.2032908557506286,10.0,0.0,2.0480847797982684,0.9687782734945832,5.193905132826613,4.02002696246584
0.3,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,2.7102580536725838,7.7095466362237275,2.7104122748115858,7.7103351119763115,2.052654750434587,4.431514937584117,5.787153349680333,35.37290970006494,2.6560327642636286,7.345296821326587,2.706703235412926,7.705302529455759,10,0.7277112796569178,0.5235050106662142,0
0.3,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,1.8510787166803677,3.417455168331852,1.8521270998651251,3.4211401377866806,1.290673487781137,1.671422660951691,6.388670208787503,41.69966815211427,1.867624455660592,3.4941405578925036,1.8485549607769196,3.4079566088262445,10,0.6973886952563727,0.49452529532934697,1
0.3,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,2.8111308439961507,7.463788925726726,2.8113864698930464,7.4650747326245,2.1027325672325894,4.1861976623321695,4.545376802028713,19.602333373541246,2.7208535494516277,6.937243008971093,2.798729240523526,7.398103460671613,10,0.8207160054131601,0.6491034083720022,2
0.3,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,3.804509774347897,14.781453655628852,3.8070465954653545,14.8010627251294,3.1417452915276995,10.085395461624863,5.205637383917263,27.79542279286664,3.6261179893669704,13.493323067704798,3.8115036481628,14.826031956368956,10,1.0651279927502304,1.155276458228828,3
0.3,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,3.560705540370709,12.656489190500329,3.5609530155025264,12.658168041791459,2.9225646376073096,8.538739177790374,3.9703497619563897,15.35054059720693,3.5560813507006666,12.6173146133811,3.539837869221152,12.516798807405669,10,1.2962954280968,1.7199736688262488,4
0.3,10,0,10.0,0.001,uniform,7,2,0.001,5000,20,mean,5,2.9475365858135416,0.6910147176000305,9.205746715282299,4.044094018802451,2.9483850911075278,0.6913349850740901,9.21115614986167,4.048567549808001,2.3020741469166643,0.6655726067322977,5.782653980056644,3.078508155586412,5.17943750127404,0.8597877480949329,27.964174923158804,9.722199005661631,2.8853420218886967,0.6502351142494538,8.777463613855215,3.750594678099765,2.9410657908194646,0.6906454198873709,9.17083867254565,4.041728746463137,10.0,0.0,0.9214478802346961,0.227612810822394,0.9084767682845281,0.47037664110864014
0.3,uniform,0,5000,20,20.0,2,0.001,7,10,0.001,2.72416417510211,7.7781252317346015,2.7249556132508554,7.783201682364064,1.8830341857324264,3.713723813270346,10.519301389103637,112.86579279110533,2.751704467438248,7.790311237542932,2.7270015806382757,7.803301709193217,10,0.965446528413393,0.9347896849437412,0
0.3,uniform,0,5000,20,20.0,2,0.001,7,10,0.001,1.9378237657231683,3.7831463719093352,1.939300628789935,3.7885720591519667,1.3339047304603167,1.8135929788710632,11.780255204883316,142.63077232814769,2.03327206024557,4.205158473345022,1.9274675831203405,3.7399889711309635,10,0.873821964156831,0.7469193797663091,1
0.3,uniform,0,5000,20,20.0,2,0.001,7,10,0.001,2.8861855973789936,7.89684204482655,2.8862490461391515,7.897069762689078,1.9638694122515785,3.6720963343579602,7.12565514979153,50.03304700618143,2.7395198904510885,7.037142651279335,2.885960398266585,7.897491848709044,10,1.0662925158116836,1.1900942294964798,2
0.3,uniform,0,5000,20,20.0,2,0.001,7,10,0.001,3.7451910642581674,14.321542162547932,3.749237969913064,14.352387024122438,2.6599380648863398,7.234554766220397,9.154052597494394,87.8655214179645,3.5109000652803344,12.68547718013632,3.690709512351045,13.896313246648802,10,1.2483504759880721,1.54471833014536,3
0.3,uniform,0,5000,20,20.0,2,0.001,7,10,0.001,3.6531732890869577,13.346619766483714,3.653230337763293,13.346671056857147,2.573253511918806,6.636893755599123,9.2191359834334,81.85746520617607,3.689264832122356,13.551034037903438,3.603438159978826,12.99527533842869,10,1.261323177991684,1.554051630453052,4
0.3,10,0,20.0,0.001,uniform,7,2,0.001,5000,20,mean,5,2.9893075783098793,0.663118526603274,9.425255115500425,3.9046946619722944,2.99059471917126,0.6635204538623284,9.433580317036938,3.9104391342337133,2.0827999810498934,0.48755060932898525,4.614172329663778,2.0248143367946327,9.559680064941256,1.5528559649422013,95.05051974991501,31.091857874361825,2.9449322631075194,0.5974957867189348,9.05382471604141,3.5379889343623794,2.966915446871014,0.643988083443687,9.266474222822144,3.7388873459554373,10.0,0.0,1.0830469324723329,0.15296622770691787,1.1941146509609886,0.32240557731868397
0.3,uniform,0,5000,20,30.0,2,0.001,7,10,0.001,2.763851039317961,7.978425760522405,2.765268528463734,7.987869113097906,1.9273455914553481,3.8569059909181913,16.0196291499732,263.27532432448106,2.917838650272651,8.67765510793793,2.7834224413239386,8.113254748377829,10,1.4676978746866312,2.1565337318179245,0
0.3,uniform,0,5000,20,30.0,2,0.001,7,10,0.001,2.082007782935178,4.408460212745841,2.0837241458041578,4.4152333049447465,1.5075128755379168,2.3404027354387664,17.308501704348604,308.23511922427105,2.3255814719453953,5.563645403177026,2.0379206078444096,4.2192761288264755,10,1.018121540573447,1.0613326000718446,1
0.3,uniform,0,5000,20,30.0,2,0.001,7,10,0.001,3.0144695719643217,8.65883841659139,3.0141548801057394,8.656897174255123,2.056328841844875,4.05180967534139,10.376432074193836,107.30153540598918,2.8894702847632874,7.861473990805927,2.9948508349933802,8.546544725426905,10,1.193943824745208,1.4780054915528762,2
0.3,uniform,0,5000,20,30.0,2,0.001,7,10,0.001,3.703727541951258,14.006778426687443,3.708828610117635,14.04531950172375,2.544380934307194,6.631657357222389,14.567120714731121,223.8258916705633,3.454929492029708,12.295041389161572,3.6250805016725933,13.428357665635186,10,1.3260228064432422,1.8875600641886767,3
0.3,uniform,0,5000,20,30.0,2,0.001,7,10,0.001,3.7774022823359674,14.29561707344179,3.7772146179361035,14.293546405528184,2.569177661890225,6.630143322946387,12.655497930165602,155.39381474556197,3.903140563146289,15.084314270517188,3.704876095153655,13.758978502926773,10,1.521183830435951,2.510677679183933,4
0.3,10,0,30.0,0.001,uniform,7,2,0.001,5000,20,mean,5,3.0682916437009373,0.6284828445742456,9.869623977997772,3.7834482646819336,3.0698381564854738,0.6288043234092976,9.879773099909942,3.788643372360925,2.1209491810071115,0.3995411017069536,4.7021838163734255,1.682580577779957,14.185436314682471,2.454086735666908,211.60633707417333,72.38157585380623,3.098192092431466,0.5381863879291122,9.89642603231993,3.378371215830461,3.0292300961975953,0.6092344475002279,9.613282354238633,3.583989713593711,10.0,0.0,1.3053939753768957,0.1834556915565414,1.8188219133630512,0.5074218165448737
0.3,7,0.001,5000,uniform,10,0,2,20,5.0,0.001,mean,5,2.9415940047049203,0.7008610571240437,9.180315188527942,4.114795197399225,2.9421574987474726,0.7010881282397928,9.18385729716068,4.117994101138561,2.815783578242379,0.868250528505395,8.73218378437563,4.901233568369899,4.330773184019615,0.32158347894757494,18.845842255247174,2.9330970238413676,2.925695200851584,0.7015017005450747,9.081454367657186,4.117037603132877,2.9619839348107013,0.7103190828546708,9.315269155635729,4.2032908557506286,10.0,0.0,2.0480847797982684,0.9687782734945832,5.193905132826613,4.02002696246584
0.3,7,0.001,5000,uniform,10,0,2,20,10.0,0.001,mean,5,2.9475365858135416,0.6910147176000305,9.205746715282299,4.044094018802451,2.9483850911075278,0.6913349850740901,9.21115614986167,4.048567549808001,2.3020741469166643,0.6655726067322977,5.782653980056644,3.078508155586412,5.17943750127404,0.8597877480949329,27.964174923158804,9.722199005661631,2.8853420218886967,0.6502351142494538,8.777463613855215,3.750594678099765,2.9410657908194646,0.6906454198873709,9.17083867254565,4.041728746463137,10.0,0.0,0.9214478802346961,0.227612810822394,0.9084767682845281,0.47037664110864014
0.3,7,0.001,5000,uniform,10,0,2,20,20.0,0.001,mean,5,2.9893075783098793,0.663118526603274,9.425255115500425,3.9046946619722944,2.99059471917126,0.6635204538623284,9.433580317036938,3.9104391342337133,2.0827999810498934,0.48755060932898525,4.614172329663778,2.0248143367946327,9.559680064941256,1.5528559649422013,95.05051974991501,31.091857874361825,2.9449322631075194,0.5974957867189348,9.05382471604141,3.5379889343623794,2.966915446871014,0.643988083443687,9.266474222822144,3.7388873459554373,10.0,0.0,1.0830469324723329,0.15296622770691787,1.1941146509609886,0.32240557731868397
0.3,7,0.001,5000,uniform,10,0,2,20,30.0,0.001,mean,5,3.0682916437009373,0.6284828445742456,9.869623977997772,3.7834482646819336,3.0698381564854738,0.6288043234092976,9.879773099909942,3.788643372360925,2.1209491810071115,0.3995411017069536,4.7021838163734255,1.682580577779957,14.185436314682471,2.454086735666908,211.60633707417333,72.38157585380623,3.098192092431466,0.5381863879291122,9.89642603231993,3.378371215830461,3.0292300961975953,0.6092344475002279,9.613282354238633,3.583989713593711,10.0,0.0,1.3053939753768957,0.1834556915565414,1.8188219133630512,0.5074218165448737
